"activity_date","source_type","fleet_display_name","ahs_mode","actual_tonnes","cycle_count","source_truck_count_observed","truck_count","calendar_hours","not_required_hours","required_hours","cyclone_standby_hours","scheduled_maintenance_hours","unscheduled_maintenance_hours","available_hours","operational_standby_hours","operating_hours","operating_delay_hours","payload_from_quantity_per_cycle","quantity_reporting_avg","payload","loaded_distance_km","loaded_speed_kph","empty_distance_km","empty_speed_kph","queue_load_minutes","spot_load_minutes","loaded_travel_minutes","truck_loading_minutes","queue_dump_minutes","spot_dump_minutes","dumping_minutes","empty_travel_minutes","plan_model_scope","source_gross_cycle_minutes","source_availability_pct"
"2025-07-04","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-04","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-05","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-05","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-05","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-06","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-06","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-06","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-07","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-07","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-07","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-08","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-08","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-08","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-09","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-09","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-09","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-10","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-10","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-10","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-11","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-11","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-11","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-12","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-12","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-12","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-13","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-13","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-13","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-14","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-14","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-14","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-15","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-15","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-15","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-16","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-16","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-16","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-17","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-17","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-17","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-18","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-18","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-18","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-19","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-19","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-19","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-20","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-20","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-20","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-21","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-21","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-21","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-22","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-22","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-22","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-23","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-23","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-23","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-24","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-24","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-24","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-25","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-25","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-25","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
